Date,Temperature AVG,Relative Humidity AVG,Wind Speed Daily AVG,Attempted,Succeeded
11/27/2015,26.32166667,19.715,27.83958333,2,0
11/21/2015,31.3,21.69070833,2.245833333,3,0
10/15/2015,46.44791667,27.21125,17.163625,2,0
10/9/2015,38.26041667,74.32916667,65.13833333,2,0
10/3/2015,31.82291667,62.33708333,13.12504167,12,0
10/2/2015,36.06416667,47.017375,6.4459166670000005,2,0
9/30/2015,38.72958333,57.36958333,11.30075,2,0
9/28/2015,38.33541667,27.02541667,17.11520833,12,4
9/27/2015,35.105,23.76833333,4.5570833330000005,12,6
9/26/2015,27.32208333,59.46991667,15.73075,17,3
9/25/2015,32.39041667,95.30583333,61.3875,23,15
9/24/2015,36.09958333,60.97875,51.61083333,21,1
9/23/2015,30.87583333,70.45,35.44875,12,0
9/22/2015,34.56541667,21.985,22.35341667,3,0
9/21/2015,37.40666667,17.20541667,13.77908333,33,9
9/20/2015,37.6425,68.0775,31.28666667,38,7
9/19/2015,40.44916667,63.53708333,7.9539166670000006,37,0
9/18/2015,34.73375,52.70166667,6.354375,39,0
9/17/2015,26.44208333,85.25291667,9.367166667000001,12,0
9/16/2015,22.08,98.65,15.922375,12,0
9/15/2015,19.81375,54.48041667,7.8277083329999995,9,0
9/14/2015,23.02125,60.216125,11.10675,27,26
9/13/2015,42.59166667,17.42758333,14.43820833,37,0
9/12/2015,51.76,27.91541667,19.81575,43,13
9/11/2015,52.30416667,18.9025,12.39225,54,10
9/10/2015,53.10583333,15.78708333,2.488416667,14,2
9/9/2015,47.29416667,25.0825,7.66225,16,12
9/8/2015,43.75958333,40.11041667,7.346541667,2,0
9/7/2015,35.25291667,48.96291667,3.89525,47,18
9/6/2015,28.99416667,74.715,11.76808333,35,0
9/5/2015,24.97708333,74.395,4.64325,51,0
9/4/2015,21.42833333,90.97875,5.825083332999999,43,0
9/3/2015,20.42208333,90.81,8.345,39,0
9/2/2015,22.40041667,91.62541667,23.27375,32,0
9/1/2015,32.07875,66.61916667,33.07875,46,0
8/31/2015,32.31,100.0,25.74,36,0
8/29/2015,30.81956522,96.96086957,18.22691304,23,0
8/28/2015,36.16208333,91.36375,64.10625,25,0
8/27/2015,40.64875,66.89916667,38.68416667,34,0
8/26/2015,41.95083333,54.23375,35.89916667,72,32
8/25/2015,42.415,26.72666667,24.9475,32,13
8/24/2015,43.36666667,22.565875,22.82541667,38,30
8/23/2015,44.68791667,26.80133333,24.80958333,41,23
8/22/2015,44.36916667,18.2605,4.4974166669999995,84,43
8/21/2015,43.20875,14.29633333,19.14175,59,35
8/20/2015,51.13958333,25.71416667,4.838666667,52,34
8/19/2015,51.18958333,24.26166667,2.924458333,28,12
8/18/2015,49.47041667,39.9375,4.31375,55,28
8/17/2015,46.55333333,30.25375,6.036208332999999,59,19
